사업번호,사업명,시작연도,종료연도,사업개요서링크
2022-00056,"캄보디아 농촌종합개발을 통한 평화마을 조성사업('22-'26/1,000만불)",2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00056
2022-00051,스리랑카 중부주.우바주 코로나19 피해 지역사회의 사회경제적 회복력 강화사업(UN-Habitat) ('22-'25/600만불),2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00051
2022-00049,르완다 디지털 대사 프로그램 지원을 통한 디지털 문해율 증진 사업('22-'25/450만불),2022,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00049
2022-00048,몽골 초중고등학교 급식환경 개선 및 역량강화 사업 ('22-'26/800만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00048
2022-00045,이집트 정부서비스청(GAGS) 공공 전자조달시스템 개선 사업('22-'26/790만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00045
2022-00044,동티모르 청년 취?창업 지원사업(UNDP)('22-'27/620만불),2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00044
2022-00041,요르단 제라시주 마스타바 지역 노후 상수도 관망 개선사업('22-'26/913.1만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00041
2022-00039,에콰도르 생물다양성 보전과 지속가능한 이용을 위한 국가 유전자원 데이터 은행 설립사업('22-'28/900만불),2022,2028,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00039
2022-00038,볼리비아 라파스주 임상병리검사실체계 강화사업('22-'26/700만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00038
2022-00036,"에티오피아 가죽 및 가죽제품 경쟁력 강화 사업('22-'27/1,000만불)",2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00036
2022-00027,"캄보디아 국립소아병원 내과계 병동건립 및 의료인력 역량강화사업('22-'27/1,600만불)",2022,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00027
2022-00026,"우즈베키스탄 질병부담 경감을 위한 감염병 대응체계 강화 사업('22-'26/1,415만불)",2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00026
2022-00025,네팔 한국 귀환노동자 안정적 재정착을 위한 단계별 지원체계 강화사업('22-'28/800만불),2022,2028,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00025
2022-00022,키르기즈공화국 포괄적 스마트 축산물이력제도 운영을 통한 축산물안전성 강화사업('22-'26/550만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00022
2022-00013,콜롬비아 2개 분쟁피해지역(PDET) 평화지속화를 위한 지역사회 거버넌스 역량강화사업('22-'26/640만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00013
2022-00011,파라과이 아순시온 국립대학 ICT 혁신센터 설립을 통한 ICT 경쟁력 강화 사업('22-'26/960만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00011
2022-00010,동티모르 감염병 예방 및 대응 역량강화 사업(WHO)('22-'26/600만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00010
2022-00007,앙골라 북서부 3개 주 교육격차 해소를 위한 교사 역량강화 및 취약계층 교육의 질 향상 사업(3단계)('22-'26/576만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00007
2022-00003,세네갈 국가공중보건 실험실 역량강화사업('22-'26/600만불),2022,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2022-00003
2021-00187,우즈베키스탄 국가화학산업 발전을 위한 화학연구원 설립 역량강화사업('21...,2021,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00187
2021-00180,인도 직업기술교육 역량강화사업('21-'23/200만불)...,2021,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00180
2021-00179,베트남 도시정보관리시스템 구축사업('21-'25/950만불)...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00179
2021-00178,캄보디아 고등인재양성 왕립프놈펜대학 환경공학과 설립사업('21-'26/6...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00178
2021-00177,베트남 축산 고등전문인력 양성을 위한 국립농업대학교 역량강화 사업('21...,2021,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00177
2021-00176,"베트남 하이테크 농업발전을 위한 호치민국립대 농과대학 교육, 연구 역량강...",2021,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00176
2021-00175,베트남 호치민의약학대학 교육연구 역량강화 사업('21-'26년/968만불...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00175
2021-00172,"미얀마 철도 역량강화 사업('21-'26/1,460만불)...",2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00172
2021-00169,베트남 금융분야 조기경보 및 위기관리 역량강화 사업('21-'25/237...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00169
2021-00168,엘살바도르 산살바도르 도시교통 마스터플랜 수립 및 교통신호체계 개선사업(...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00168
2021-00166,필리핀 해양 쓰레기 관리 역량 강화 사업('21-'25/770만불)...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00166
2021-00165,인도네시아 해안쓰레기 관리정책 역량강화('21-'23/250만불)...,2021,2023,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00165
2021-00164,우즈베키스탄 IT Park의 지속가능한 성장을 위한 기반조성 및 역량강화...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00164
2021-00163,몽골 대기환경 개선을 위한 에너지원 품질 관리 역량 강화사업('21-'2...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00163
2021-00162,인도네시아 법령정보시스템 구축 사업('21-'25/850만불)...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00162
2021-00161,알제리 전자무역을 위한 싱글윈도우 구축 사업('21-'25/750만불)...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00161
2021-00158,필리핀 재해경감을 위한 메트로 마닐라 통합 홍수관리 체계 구축사업('21...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00158
2021-00156,인도네시아 보고르대학교 농업생명과학연구센터 역량강화 사업(‘2...,2021,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00156
2021-00155,팔레스타인 서안지구 통합적 교육환경 개선사업 (UNICEF)('21-'2...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00155
2021-00154,"베트남 중부지역 꽝빈성 평화마을 농촌개발 프로그램 ('21-'25/1,0...",2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00154
2021-00152,라오스 8번 국도(아시안 하이웨이 15) 교량과 도로안전 기능개선 및 역...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00152
2021-00141,네팔 경찰청 사이버 안전국 설립을 통한 사이버 수사능력 강화사업('21-...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00141
2021-00139,네팔 Province 2 지역 건설기술인력 양성을 위한 모델 폴리텍 설립...,2021,2027,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00139
2021-00136,아프리카연합(AU) 간염 예방 및 통제 지원사업('21-'24/500만불...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00136
2021-00135,스리랑카 도로교통 DB 구축 및 역량강화 사업('21-'24/400만불)...,2021,2024,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00135
2021-00131,팔레스타인 서안지구 공공 재활치료센터 구축 및 역량강화사업('21-'25...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00131
2021-00127,요르단 빅데이터 기반 치안정보 통합관리 시스템 구축 사업('21-'25/...,2021,2025,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00127
2021-00126,케냐 카지아도주 보건시스템 강화를 통한 모성 및 신생아 보건 개선 사업(...,2021,2026,https://www.oda.go.kr/opo/bsin/bsnsSumryDocDetail.do?P_BSNS_NO=2021-00126
